Archivo JSON,Instruccion,opciones,respuestas
WBP6M1L1a.json,Unscramble the topic words,,
,,mumsre,summer
,,eiivscivtat,activities
WBP6M1L2a.json,Unscramble the sentences,,
,,/ did / Where / go / you / last weekend / ? /,Where did you go last weekend?
,,/ didn't / she / my / ferret / like /. /,She didn't like my ferret.
,,/ you / go / When / did / to / the movies / ? /,When did you go to the movies?
,,/ computer game / He / a / buy / didn't / . /,He didn't buy a computer game.
WBP6M2L8a.json,Unscramble the sentences,,
,,will Where go he?,Where will he go?
,,do you What will?,What will you do?
,,leave will When they?,When will they leave?
,,will How be you old Spring next? ,How old will you be next Spring?
WBP6M2L8b.json,Unscramble the words.,,
,,otrob,robot
,,obko,book
,,tnlsie,listen
WBP6M4L18a.json,We all get angry sometimes. How you act make the situation better or worse. Here are some ideas about how to control your anger. If you star to feel angry... Unscramble the words. ,,
,,ten / to / count ,Count to ten.
,,picture / draw / a / anger / you / of,Draw a picture of your anger.
,,favorite music / sing along / your / with,Sing along with your favorite music.
,,a friend / can / you / trust /talk to,Talk to a friend you can trust.
,,permit / don't / your anger / to take control,Don't permit your anger to take control.
,,want / you / if / to / more / learn / about / anger control / on the internet / read,If you want to learn more about anger control read on the internet. 